raw_row_number,date,time,location,lat,lng,sector,subject_age,subject_race,subject_sex,officer_id_hash,type,violation,arrest_made,citation_issued,outcome,vehicle_registration_state,raw_race
1,2016-08-04,13:52:00,"1016 HALL ST, OWENSBORO, KY, 42301",37.76728,-87.0976929,BRAVO,30,white,male,0b087b613e,pedestrian,"POSS CONT SUB 1ST DEG, 1ST OFF (METHAMPHETAMINE); DRUG PARAPHERLIA - BUY/POSSESS",TRUE,TRUE,arrest,KY,WHITE
2,2016-04-03,01:48:00,"W PARRISH AVE/BYPASS, OWENSBORO, KY, 42301",37.7556594,-87.1561035,WEST,17,white,male,cccb830893,vehicular,FAILURE TO ILLUMITE HEAD LAMPS; NO OPERATORS-MOPED LICENSE; NO REGISTRATION PLATES,FALSE,TRUE,citation,KY,WHITE
3,2015-09-13,04:57:00,"2511 HWY 144 ST, OWENSBORO, KY, 42303",37.7777305,-87.0871013,BRAVO,33,white,male,5ad1b66604,vehicular,"NO TAIL LAMPS; OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 - 1ST OFF; POSS CONT SUB 1ST DEG, 1ST OFF (METHAMPHETAMINE); FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC, 1ST OFF; VIOLATION UNKNOWN",TRUE,TRUE,arrest,KY,WHITE
4,2016-01-05,13:16:00,"CARTER RD & BITTEL RD, OWENSBORO, KY, 42301",37.7513832,-87.1467926,CHARLIE,52,white,female,78fbcbf614,vehicular,"OPER MTR VEH U/INFLU ALC/DRUGS/ETC. .08 (AGG CIRCUM), 2ND; DRIVING DUI SUSPENDED LICENSE - 1ST OFF (AGG CIRCUM)",TRUE,TRUE,arrest,KY,WHITE
5,2016-04-06,02:15:00,"FREDERICA ST & FAIRFAX DR, OWENSBORO, KY, 42301",37.7339871,-87.1202055,FOX,33,white,male,78fbcbf614,vehicular,OPERATING ON SUS OR REV OPER LICENSE,FALSE,TRUE,citation,KY,WHITE
6,2015-11-05,23:15:00,"FREDERICA ST AND WASHINGTON AVE, OWENSBORO, KY, 42303",37.7513231,-87.1116301,DELTA,32,white,male,60dc0a01bb,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
7,2016-02-14,02:40:00,"1301 FREDERICA ST, OWENSBORO, KY, 42301",37.7635425,-87.112526,DELTA,28,white,male,60dc0a01bb,vehicular,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 - 1ST OFF,TRUE,TRUE,arrest,KY,WHITE
8,2016-02-09,16:59:00,"1300 MCFARLAND AVE, OWENSBORO, KY, 42301",37.7589556,-87.1459899,CHARLIE,24,white,male,fbd3670efb,vehicular,DISREGARDING TRAFFIC CONT DEV-TRAFFIC LIGHT; LICENSE TO BE IN POSSESSION,FALSE,TRUE,citation,KY,WHITE
9,2016-04-16,23:14:00,"700 CRABTREE AVE, OWENSBORO, KY, 42301",37.767716,-87.1342442,ALPHA,23,white,female,fbd3670efb,vehicular,"OPER MTR VEH U/INFLU ALC/DRUGS/ETC. .08 (AGG CIRCUM), 2ND; DRIVING ON DUI SUSPENDED LICENSE -1ST OFFENSE; POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED; FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC, 1ST OFF; FAILURE TO WEAR SEAT BELTS",TRUE,TRUE,arrest,KY,WHITE
10,2016-06-22,01:20:00,"700 CRITTENDEN ST, OLATON, KY, 42361",37.7695452,-87.1072855,BRAVO,36,white,male,fbd3670efb,vehicular,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 - 1ST OFF; OPERATING VEHICLE WITH EXPIRED OPERATORS LICENSE; DRUG PARAPHERLIA - BUY/POSSESS,TRUE,TRUE,arrest,KY,WHITE
11,2016-06-29,19:24:00,"1201 HUTCH LN, OWENSBORO, KY, 42301",37.7622368,-87.1406807,ALPHA,19,white,male,fbd3670efb,vehicular,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 - 1ST OFF; LEAVING SCENE OF ACCIDENT-FAILURE TO RENDER AID OR ASSISTANCE; NO OPERATORS-MOPED LICENSE,TRUE,TRUE,arrest,KY,WHITE
12,2015-11-21,15:58:00,"900 BOOTH AVE, OWENSBORO, KY, 42301",37.7510283,-87.1194782,CHARLIE,27,black,male,d8167f8260,vehicular,NO REGISTRATION PLATES; FAILURE TO PRODUCE INSURANCE CARD; NO OPERATORS-MOPED LICENSE,FALSE,TRUE,citation,KY,BLACK
13,2015-10-25,04:20:00,"E BYERS AVE / FRIENDSHIP DRIVE, OWENSBORO, KY, 42303",37.756626,-87.0771634,DELTA,30,white,male,222e142740,vehicular,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 - 1ST OFF,TRUE,TRUE,arrest,KY,WHITE
14,2015-12-03,17:24:00,"2805 W PARRISH AVE, OWENSBORO, KY, 42301",37.7570583,-87.1487505,CHARLIE,50,white,male,38a1f1f154,vehicular,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 - 2ND OFF; OPERATING ON SUS OR REV OPER LICENSE; POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED,TRUE,TRUE,arrest,KY,WHITE
15,2015-12-12,12:46:00,"2245 RAGU DR, OWENSBORO, KY, 42301",37.7597719,-87.0744547,DELTA,32,white,female,38a1f1f154,vehicular,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 - 2ND OFF; OPERATING ON SUS OR REV OPER LICENSE,TRUE,TRUE,arrest,KY,WHITE
16,2015-12-15,19:24:00,"W 8TH ST & MAPLE ST, OWENSBORO, KY, 42301",37.7675218,-87.1218873,ALPHA,52,black,male,38a1f1f154,pedestrian,POSS CONT SUB 1ST DEG 1ST OFF (COCAINE); DRUG PARAPHERLIA - BUY/POSSESS,TRUE,TRUE,arrest,KY,BLACK
17,2016-01-30,16:24:00,"1670 STARLITE DR, OWENSBORO, KY, 42303",37.7561511,-87.1503521,CHARLIE,32,white,male,38a1f1f154,pedestrian,"TRAFF IN CONT SUB, 1ST DEGREE, 1ST OFF - (> OR = 2 GMS METHAMPHETAMINE); TRAF IN MARIJUA ( LESS THAN 8 OZ.) 1ST OFF",TRUE,TRUE,arrest,KY,WHITE
18,2016-01-24,01:50:00,"1700 W 4TH ST, OWENSBORO, KY, 42301",37.7714843,-87.1314863,ALPHA,55,black,male,8302d335a6,vehicular,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC. .08 (AGG CIRCUM) 1ST OFF; OPERATING ON SUS OR REV OPER LICENSE,TRUE,TRUE,arrest,AZ,BLACK
19,2016-03-21,09:05:00,"E 4TH ST  JR MILLER BLV, OWENSBORO, KY, 42301",37.7728006,-87.108701,BRAVO,41,white,female,8302d335a6,vehicular,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 - 1ST OFF; OPERATING ON SUS OR REV OPER LICENSE,TRUE,TRUE,arrest,KY,WHITE
20,2016-05-05,12:53:00,"1800 W 9TH ST, OWENSBORO, KY, 42301",37.7637506,-87.1336529,ALPHA,33,white,female,8302d335a6,vehicular,NO REGISTRATION PLATES; OPERATING ON SUS OR REV OPER LICENSE,FALSE,TRUE,citation,KY,WHITE
21,2015-11-05,13:17:00,"W PARRISH AVE/FREDERICA, PHILPOT, KY, 42366",37.7638808,-87.112544,BRAVO,23,white,female,0b087b613e,vehicular,FAILURE TO WEAR SEAT BELTS; DRIVING DUI SUSPENDED LICENSE - 2ND OFFENSE,TRUE,TRUE,arrest,KY,WHITE
